age,triangle,sex,region,time,count
32,Lower,Male,d. Avannaata kommunia,2011,0
32,Upper,Male,d. Avannaata kommunia,2011,0
33,Lower,Male,d. Avannaata kommunia,2011,0
33,Upper,Male,d. Avannaata kommunia,2011,0
34,Lower,Male,d. Avannaata kommunia,2011,0
34,Upper,Male,d. Avannaata kommunia,2011,0
35,Lower,Male,d. Avannaata kommunia,2011,0
35,Upper,Male,d. Avannaata kommunia,2011,0
36,Lower,Male,d. Avannaata kommunia,2011,0
36,Upper,Male,d. Avannaata kommunia,2011,0
37,Lower,Male,d. Avannaata kommunia,2011,0
37,Upper,Male,d. Avannaata kommunia,2011,0
38,Lower,Male,d. Avannaata kommunia,2011,0
38,Upper,Male,d. Avannaata kommunia,2011,0
39,Lower,Male,d. Avannaata kommunia,2011,0
39,Upper,Male,d. Avannaata kommunia,2011,0
40,Lower,Male,d. Avannaata kommunia,2011,0
40,Upper,Male,d. Avannaata kommunia,2011,0
41,Lower,Male,d. Avannaata kommunia,2011,0
41,Upper,Male,d. Avannaata kommunia,2011,1
42,Lower,Male,d. Avannaata kommunia,2011,0
42,Upper,Male,d. Avannaata kommunia,2011,0
43,Lower,Male,d. Avannaata kommunia,2011,0
43,Upper,Male,d. Avannaata kommunia,2011,0
44,Lower,Male,d. Avannaata kommunia,2011,0
44,Upper,Male,d. Avannaata kommunia,2011,1
45,Lower,Male,d. Avannaata kommunia,2011,1
45,Upper,Male,d. Avannaata kommunia,2011,0
46,Lower,Male,d. Avannaata kommunia,2011,1
46,Upper,Male,d. Avannaata kommunia,2011,0
47,Lower,Male,d. Avannaata kommunia,2011,0
47,Upper,Male,d. Avannaata kommunia,2011,1
48,Lower,Male,d. Avannaata kommunia,2011,0
48,Upper,Male,d. Avannaata kommunia,2011,1
49,Lower,Male,d. Avannaata kommunia,2011,0
49,Upper,Male,d. Avannaata kommunia,2011,0
50,Lower,Male,d. Avannaata kommunia,2011,0
50,Upper,Male,d. Avannaata kommunia,2011,0
51,Lower,Male,d. Avannaata kommunia,2011,0
51,Upper,Male,d. Avannaata kommunia,2011,0
52,Lower,Male,d. Avannaata kommunia,2011,0
52,Upper,Male,d. Avannaata kommunia,2011,0
53,Lower,Male,d. Avannaata kommunia,2011,1
53,Upper,Male,d. Avannaata kommunia,2011,0
54,Lower,Male,d. Avannaata kommunia,2011,0
54,Upper,Male,d. Avannaata kommunia,2011,1
55,Lower,Male,d. Avannaata kommunia,2011,1
55,Upper,Male,d. Avannaata kommunia,2011,1
56,Lower,Male,d. Avannaata kommunia,2011,1
56,Upper,Male,d. Avannaata kommunia,2011,1
57,Lower,Male,d. Avannaata kommunia,2011,0
57,Upper,Male,d. Avannaata kommunia,2011,0
58,Lower,Male,d. Avannaata kommunia,2011,0
58,Upper,Male,d. Avannaata kommunia,2011,0
59,Lower,Male,d. Avannaata kommunia,2011,0
59,Upper,Male,d. Avannaata kommunia,2011,0
60,Lower,Male,d. Avannaata kommunia,2011,0
60,Upper,Male,d. Avannaata kommunia,2011,0
61,Lower,Male,d. Avannaata kommunia,2011,1
61,Upper,Male,d. Avannaata kommunia,2011,1
62,Lower,Male,d. Avannaata kommunia,2011,0
62,Upper,Male,d. Avannaata kommunia,2011,0
63,Lower,Male,d. Avannaata kommunia,2011,1
63,Upper,Male,d. Avannaata kommunia,2011,1
64,Lower,Male,d. Avannaata kommunia,2011,0
64,Upper,Male,d. Avannaata kommunia,2011,1
65,Lower,Male,d. Avannaata kommunia,2011,0
65,Upper,Male,d. Avannaata kommunia,2011,0
66,Lower,Male,d. Avannaata kommunia,2011,2
66,Upper,Male,d. Avannaata kommunia,2011,0
67,Lower,Male,d. Avannaata kommunia,2011,0
67,Upper,Male,d. Avannaata kommunia,2011,0
68,Lower,Male,d. Avannaata kommunia,2011,0
68,Upper,Male,d. Avannaata kommunia,2011,0
69,Lower,Male,d. Avannaata kommunia,2011,1
69,Upper,Male,d. Avannaata kommunia,2011,1
70,Lower,Male,d. Avannaata kommunia,2011,0
70,Upper,Male,d. Avannaata kommunia,2011,2
71,Lower,Male,d. Avannaata kommunia,2011,0
71,Upper,Male,d. Avannaata kommunia,2011,1
72,Lower,Male,d. Avannaata kommunia,2011,1
72,Upper,Male,d. Avannaata kommunia,2011,0
73,Lower,Male,d. Avannaata kommunia,2011,0
73,Upper,Male,d. Avannaata kommunia,2011,2
74,Lower,Male,d. Avannaata kommunia,2011,2
74,Upper,Male,d. Avannaata kommunia,2011,0
75,Lower,Male,d. Avannaata kommunia,2011,1
75,Upper,Male,d. Avannaata kommunia,2011,0
76,Lower,Male,d. Avannaata kommunia,2011,1
76,Upper,Male,d. Avannaata kommunia,2011,0
77,Lower,Male,d. Avannaata kommunia,2011,0
77,Upper,Male,d. Avannaata kommunia,2011,1
78,Lower,Male,d. Avannaata kommunia,2011,0
78,Upper,Male,d. Avannaata kommunia,2011,1
79,Lower,Male,d. Avannaata kommunia,2011,1
79,Upper,Male,d. Avannaata kommunia,2011,0
80,Lower,Male,d. Avannaata kommunia,2011,0
80,Upper,Male,d. Avannaata kommunia,2011,0
81,Lower,Male,d. Avannaata kommunia,2011,1
81,Upper,Male,d. Avannaata kommunia,2011,0
82,Lower,Male,d. Avannaata kommunia,2011,1
82,Upper,Male,d. Avannaata kommunia,2011,0
83,Lower,Male,d. Avannaata kommunia,2011,1
83,Upper,Male,d. Avannaata kommunia,2011,1
84,Lower,Male,d. Avannaata kommunia,2011,1
84,Upper,Male,d. Avannaata kommunia,2011,0
85,Lower,Male,d. Avannaata kommunia,2011,0
85,Upper,Male,d. Avannaata kommunia,2011,0
86,Lower,Male,d. Avannaata kommunia,2011,0
86,Upper,Male,d. Avannaata kommunia,2011,0
87,Lower,Male,d. Avannaata kommunia,2011,0
87,Upper,Male,d. Avannaata kommunia,2011,1
88,Lower,Male,d. Avannaata kommunia,2011,0
88,Upper,Male,d. Avannaata kommunia,2011,0
89,Lower,Male,d. Avannaata kommunia,2011,0
89,Upper,Male,d. Avannaata kommunia,2011,0
90,Lower,Male,d. Avannaata kommunia,2011,0
90,Upper,Male,d. Avannaata kommunia,2011,0
91,Lower,Male,d. Avannaata kommunia,2011,0
91,Upper,Male,d. Avannaata kommunia,2011,0
92,Lower,Male,d. Avannaata kommunia,2011,0
92,Upper,Male,d. Avannaata kommunia,2011,0
93,Lower,Male,d. Avannaata kommunia,2011,0
93,Upper,Male,d. Avannaata kommunia,2011,0
94,Lower,Male,d. Avannaata kommunia,2011,0
94,Upper,Male,d. Avannaata kommunia,2011,0
95,Lower,Male,d. Avannaata kommunia,2011,0
95,Upper,Male,d. Avannaata kommunia,2011,0
96,Lower,Male,d. Avannaata kommunia,2011,0
96,Upper,Male,d. Avannaata kommunia,2011,0
97,Lower,Male,d. Avannaata kommunia,2011,0
97,Upper,Male,d. Avannaata kommunia,2011,0
98,Lower,Male,d. Avannaata kommunia,2011,0
98,Upper,Male,d. Avannaata kommunia,2011,0
99,Lower,Male,d. Avannaata kommunia,2011,0
99,Upper,Male,d. Avannaata kommunia,2011,0
100+,Lower,Male,d. Avannaata kommunia,2011,0
100+,Upper,Male,d. Avannaata kommunia,2011,0
0,Lower,Female,d. Kommune Kujalleq,2011,0
0,Upper,Female,d. Kommune Kujalleq,2011,0
1,Lower,Female,d. Kommune Kujalleq,2011,0
1,Upper,Female,d. Kommune Kujalleq,2011,0
2,Lower,Female,d. Kommune Kujalleq,2011,0
2,Upper,Female,d. Kommune Kujalleq,2011,0
3,Lower,Female,d. Kommune Kujalleq,2011,0
3,Upper,Female,d. Kommune Kujalleq,2011,0
4,Lower,Female,d. Kommune Kujalleq,2011,0
4,Upper,Female,d. Kommune Kujalleq,2011,0
5,Lower,Female,d. Kommune Kujalleq,2011,0
5,Upper,Female,d. Kommune Kujalleq,2011,0
6,Lower,Female,d. Kommune Kujalleq,2011,0
6,Upper,Female,d. Kommune Kujalleq,2011,0
7,Lower,Female,d. Kommune Kujalleq,2011,0
7,Upper,Female,d. Kommune Kujalleq,2011,0
8,Lower,Female,d. Kommune Kujalleq,2011,0
8,Upper,Female,d. Kommune Kujalleq,2011,0
9,Lower,Female,d. Kommune Kujalleq,2011,0
9,Upper,Female,d. Kommune Kujalleq,2011,0
10,Lower,Female,d. Kommune Kujalleq,2011,0
10,Upper,Female,d. Kommune Kujalleq,2011,0
11,Lower,Female,d. Kommune Kujalleq,2011,0
11,Upper,Female,d. Kommune Kujalleq,2011,0
12,Lower,Female,d. Kommune Kujalleq,2011,0
12,Upper,Female,d. Kommune Kujalleq,2011,0
13,Lower,Female,d. Kommune Kujalleq,2011,0
13,Upper,Female,d. Kommune Kujalleq,2011,0
14,Lower,Female,d. Kommune Kujalleq,2011,0
14,Upper,Female,d. Kommune Kujalleq,2011,0
15,Lower,Female,d. Kommune Kujalleq,2011,0
15,Upper,Female,d. Kommune Kujalleq,2011,0
16,Lower,Female,d. Kommune Kujalleq,2011,0
16,Upper,Female,d. Kommune Kujalleq,2011,0
17,Lower,Female,d. Kommune Kujalleq,2011,2
17,Upper,Female,d. Kommune Kujalleq,2011,0
18,Lower,Female,d. Kommune Kujalleq,2011,0
18,Upper,Female,d. Kommune Kujalleq,2011,0
19,Lower,Female,d. Kommune Kujalleq,2011,1
19,Upper,Female,d. Kommune Kujalleq,2011,0
20,Lower,Female,d. Kommune Kujalleq,2011,0
20,Upper,Female,d. Kommune Kujalleq,2011,0
21,Lower,Female,d. Kommune Kujalleq,2011,0
21,Upper,Female,d. Kommune Kujalleq,2011,0
22,Lower,Female,d. Kommune Kujalleq,2011,0
22,Upper,Female,d. Kommune Kujalleq,2011,0
23,Lower,Female,d. Kommune Kujalleq,2011,0
23,Upper,Female,d. Kommune Kujalleq,2011,0
24,Lower,Female,d. Kommune Kujalleq,2011,0
24,Upper,Female,d. Kommune Kujalleq,2011,0
25,Lower,Female,d. Kommune Kujalleq,2011,0
25,Upper,Female,d. Kommune Kujalleq,2011,0
26,Lower,Female,d. Kommune Kujalleq,2011,0
26,Upper,Female,d. Kommune Kujalleq,2011,0
27,Lower,Female,d. Kommune Kujalleq,2011,0
27,Upper,Female,d. Kommune Kujalleq,2011,0
28,Lower,Female,d. Kommune Kujalleq,2011,0
28,Upper,Female,d. Kommune Kujalleq,2011,0
29,Lower,Female,d. Kommune Kujalleq,2011,0
29,Upper,Female,d. Kommune Kujalleq,2011,0
30,Lower,Female,d. Kommune Kujalleq,2011,0
30,Upper,Female,d. Kommune Kujalleq,2011,0
31,Lower,Female,d. Kommune Kujalleq,2011,0
31,Upper,Female,d. Kommune Kujalleq,2011,0
32,Lower,Female,d. Kommune Kujalleq,2011,0
32,Upper,Female,d. Kommune Kujalleq,2011,0
33,Lower,Female,d. Kommune Kujalleq,2011,0
33,Upper,Female,d. Kommune Kujalleq,2011,0
34,Lower,Female,d. Kommune Kujalleq,2011,0
34,Upper,Female,d. Kommune Kujalleq,2011,1
35,Lower,Female,d. Kommune Kujalleq,2011,0
35,Upper,Female,d. Kommune Kujalleq,2011,0
36,Lower,Female,d. Kommune Kujalleq,2011,0
36,Upper,Female,d. Kommune Kujalleq,2011,0
37,Lower,Female,d. Kommune Kujalleq,2011,0
37,Upper,Female,d. Kommune Kujalleq,2011,0
38,Lower,Female,d. Kommune Kujalleq,2011,0
38,Upper,Female,d. Kommune Kujalleq,2011,0
39,Lower,Female,d. Kommune Kujalleq,2011,0
39,Upper,Female,d. Kommune Kujalleq,2011,0
40,Lower,Female,d. Kommune Kujalleq,2011,0
40,Upper,Female,d. Kommune Kujalleq,2011,0
41,Lower,Female,d. Kommune Kujalleq,2011,0
41,Upper,Female,d. Kommune Kujalleq,2011,0
42,Lower,Female,d. Kommune Kujalleq,2011,0
42,Upper,Female,d. Kommune Kujalleq,2011,0
43,Lower,Female,d. Kommune Kujalleq,2011,1
43,Upper,Female,d. Kommune Kujalleq,2011,0
44,Lower,Female,d. Kommune Kujalleq,2011,0
44,Upper,Female,d. Kommune Kujalleq,2011,0
45,Lower,Female,d. Kommune Kujalleq,2011,0
45,Upper,Female,d. Kommune Kujalleq,2011,0
46,Lower,Female,d. Kommune Kujalleq,2011,1
46,Upper,Female,d. Kommune Kujalleq,2011,0
47,Lower,Female,d. Kommune Kujalleq,2011,1
47,Upper,Female,d. Kommune Kujalleq,2011,0
48,Lower,Female,d. Kommune Kujalleq,2011,1
48,Upper,Female,d. Kommune Kujalleq,2011,0
49,Lower,Female,d. Kommune Kujalleq,2011,0
49,Upper,Female,d. Kommune Kujalleq,2011,1
50,Lower,Female,d. Kommune Kujalleq,2011,0
50,Upper,Female,d. Kommune Kujalleq,2011,0
51,Lower,Female,d. Kommune Kujalleq,2011,0
51,Upper,Female,d. Kommune Kujalleq,2011,0
52,Lower,Female,d. Kommune Kujalleq,2011,0
52,Upper,Female,d. Kommune Kujalleq,2011,0
53,Lower,Female,d. Kommune Kujalleq,2011,0
53,Upper,Female,d. Kommune Kujalleq,2011,0
54,Lower,Female,d. Kommune Kujalleq,2011,0
54,Upper,Female,d. Kommune Kujalleq,2011,1
55,Lower,Female,d. Kommune Kujalleq,2011,0
55,Upper,Female,d. Kommune Kujalleq,2011,0
56,Lower,Female,d. Kommune Kujalleq,2011,0
