age,triangle,sex,region,time,direction,count
49,Upper,Male,d. Avannaata kommunia,2011,In,0
50,Lower,Male,d. Avannaata kommunia,2011,In,0
50,Upper,Male,d. Avannaata kommunia,2011,In,4
51,Lower,Male,d. Avannaata kommunia,2011,In,2
51,Upper,Male,d. Avannaata kommunia,2011,In,4
52,Lower,Male,d. Avannaata kommunia,2011,In,2
52,Upper,Male,d. Avannaata kommunia,2011,In,0
53,Lower,Male,d. Avannaata kommunia,2011,In,1
53,Upper,Male,d. Avannaata kommunia,2011,In,3
54,Lower,Male,d. Avannaata kommunia,2011,In,0
54,Upper,Male,d. Avannaata kommunia,2011,In,1
55,Lower,Male,d. Avannaata kommunia,2011,In,3
55,Upper,Male,d. Avannaata kommunia,2011,In,0
56,Lower,Male,d. Avannaata kommunia,2011,In,0
56,Upper,Male,d. Avannaata kommunia,2011,In,0
57,Lower,Male,d. Avannaata kommunia,2011,In,0
57,Upper,Male,d. Avannaata kommunia,2011,In,1
58,Lower,Male,d. Avannaata kommunia,2011,In,1
58,Upper,Male,d. Avannaata kommunia,2011,In,3
59,Lower,Male,d. Avannaata kommunia,2011,In,2
59,Upper,Male,d. Avannaata kommunia,2011,In,1
60,Lower,Male,d. Avannaata kommunia,2011,In,0
60,Upper,Male,d. Avannaata kommunia,2011,In,0
61,Lower,Male,d. Avannaata kommunia,2011,In,0
61,Upper,Male,d. Avannaata kommunia,2011,In,1
62,Lower,Male,d. Avannaata kommunia,2011,In,1
62,Upper,Male,d. Avannaata kommunia,2011,In,0
63,Lower,Male,d. Avannaata kommunia,2011,In,0
63,Upper,Male,d. Avannaata kommunia,2011,In,0
64,Lower,Male,d. Avannaata kommunia,2011,In,1
64,Upper,Male,d. Avannaata kommunia,2011,In,2
65,Lower,Male,d. Avannaata kommunia,2011,In,0
65,Upper,Male,d. Avannaata kommunia,2011,In,0
66,Lower,Male,d. Avannaata kommunia,2011,In,0
66,Upper,Male,d. Avannaata kommunia,2011,In,0
67,Lower,Male,d. Avannaata kommunia,2011,In,1
67,Upper,Male,d. Avannaata kommunia,2011,In,0
68,Lower,Male,d. Avannaata kommunia,2011,In,0
68,Upper,Male,d. Avannaata kommunia,2011,In,1
69,Lower,Male,d. Avannaata kommunia,2011,In,0
69,Upper,Male,d. Avannaata kommunia,2011,In,0
70,Lower,Male,d. Avannaata kommunia,2011,In,0
70,Upper,Male,d. Avannaata kommunia,2011,In,0
71,Lower,Male,d. Avannaata kommunia,2011,In,0
71,Upper,Male,d. Avannaata kommunia,2011,In,0
72,Lower,Male,d. Avannaata kommunia,2011,In,0
72,Upper,Male,d. Avannaata kommunia,2011,In,0
73,Lower,Male,d. Avannaata kommunia,2011,In,0
73,Upper,Male,d. Avannaata kommunia,2011,In,0
74,Lower,Male,d. Avannaata kommunia,2011,In,0
74,Upper,Male,d. Avannaata kommunia,2011,In,0
75,Lower,Male,d. Avannaata kommunia,2011,In,0
75,Upper,Male,d. Avannaata kommunia,2011,In,0
76,Lower,Male,d. Avannaata kommunia,2011,In,0
76,Upper,Male,d. Avannaata kommunia,2011,In,0
77,Lower,Male,d. Avannaata kommunia,2011,In,0
77,Upper,Male,d. Avannaata kommunia,2011,In,0
78,Lower,Male,d. Avannaata kommunia,2011,In,0
78,Upper,Male,d. Avannaata kommunia,2011,In,0
79,Lower,Male,d. Avannaata kommunia,2011,In,0
79,Upper,Male,d. Avannaata kommunia,2011,In,0
80,Lower,Male,d. Avannaata kommunia,2011,In,0
80,Upper,Male,d. Avannaata kommunia,2011,In,0
81,Lower,Male,d. Avannaata kommunia,2011,In,0
81,Upper,Male,d. Avannaata kommunia,2011,In,0
82,Lower,Male,d. Avannaata kommunia,2011,In,0
82,Upper,Male,d. Avannaata kommunia,2011,In,0
83,Lower,Male,d. Avannaata kommunia,2011,In,0
83,Upper,Male,d. Avannaata kommunia,2011,In,0
84,Lower,Male,d. Avannaata kommunia,2011,In,0
84,Upper,Male,d. Avannaata kommunia,2011,In,0
85,Lower,Male,d. Avannaata kommunia,2011,In,0
85,Upper,Male,d. Avannaata kommunia,2011,In,0
86,Lower,Male,d. Avannaata kommunia,2011,In,0
86,Upper,Male,d. Avannaata kommunia,2011,In,0
87,Lower,Male,d. Avannaata kommunia,2011,In,0
87,Upper,Male,d. Avannaata kommunia,2011,In,0
88,Lower,Male,d. Avannaata kommunia,2011,In,0
88,Upper,Male,d. Avannaata kommunia,2011,In,0
89,Lower,Male,d. Avannaata kommunia,2011,In,0
89,Upper,Male,d. Avannaata kommunia,2011,In,0
90,Lower,Male,d. Avannaata kommunia,2011,In,0
90,Upper,Male,d. Avannaata kommunia,2011,In,0
91,Lower,Male,d. Avannaata kommunia,2011,In,0
91,Upper,Male,d. Avannaata kommunia,2011,In,0
92,Lower,Male,d. Avannaata kommunia,2011,In,0
92,Upper,Male,d. Avannaata kommunia,2011,In,0
93,Lower,Male,d. Avannaata kommunia,2011,In,0
93,Upper,Male,d. Avannaata kommunia,2011,In,0
94,Lower,Male,d. Avannaata kommunia,2011,In,0
94,Upper,Male,d. Avannaata kommunia,2011,In,0
95,Lower,Male,d. Avannaata kommunia,2011,In,0
95,Upper,Male,d. Avannaata kommunia,2011,In,0
96,Lower,Male,d. Avannaata kommunia,2011,In,0
96,Upper,Male,d. Avannaata kommunia,2011,In,0
97,Lower,Male,d. Avannaata kommunia,2011,In,0
97,Upper,Male,d. Avannaata kommunia,2011,In,0
98,Lower,Male,d. Avannaata kommunia,2011,In,0
98,Upper,Male,d. Avannaata kommunia,2011,In,0
99,Lower,Male,d. Avannaata kommunia,2011,In,0
99,Upper,Male,d. Avannaata kommunia,2011,In,0
100+,Lower,Male,d. Avannaata kommunia,2011,In,0
100+,Upper,Male,d. Avannaata kommunia,2011,In,0
0,Lower,Female,d. Kommune Kujalleq,2011,In,1
0,Upper,Female,d. Kommune Kujalleq,2011,In,3
1,Lower,Female,d. Kommune Kujalleq,2011,In,5
1,Upper,Female,d. Kommune Kujalleq,2011,In,0
2,Lower,Female,d. Kommune Kujalleq,2011,In,3
2,Upper,Female,d. Kommune Kujalleq,2011,In,4
3,Lower,Female,d. Kommune Kujalleq,2011,In,4
3,Upper,Female,d. Kommune Kujalleq,2011,In,5
4,Lower,Female,d. Kommune Kujalleq,2011,In,0
4,Upper,Female,d. Kommune Kujalleq,2011,In,1
5,Lower,Female,d. Kommune Kujalleq,2011,In,1
5,Upper,Female,d. Kommune Kujalleq,2011,In,3
6,Lower,Female,d. Kommune Kujalleq,2011,In,1
6,Upper,Female,d. Kommune Kujalleq,2011,In,0
7,Lower,Female,d. Kommune Kujalleq,2011,In,2
7,Upper,Female,d. Kommune Kujalleq,2011,In,0
8,Lower,Female,d. Kommune Kujalleq,2011,In,1
8,Upper,Female,d. Kommune Kujalleq,2011,In,0
9,Lower,Female,d. Kommune Kujalleq,2011,In,0
9,Upper,Female,d. Kommune Kujalleq,2011,In,2
10,Lower,Female,d. Kommune Kujalleq,2011,In,3
10,Upper,Female,d. Kommune Kujalleq,2011,In,4
11,Lower,Female,d. Kommune Kujalleq,2011,In,1
11,Upper,Female,d. Kommune Kujalleq,2011,In,0
12,Lower,Female,d. Kommune Kujalleq,2011,In,0
12,Upper,Female,d. Kommune Kujalleq,2011,In,0
13,Lower,Female,d. Kommune Kujalleq,2011,In,3
13,Upper,Female,d. Kommune Kujalleq,2011,In,4
14,Lower,Female,d. Kommune Kujalleq,2011,In,1
14,Upper,Female,d. Kommune Kujalleq,2011,In,6
15,Lower,Female,d. Kommune Kujalleq,2011,In,4
15,Upper,Female,d. Kommune Kujalleq,2011,In,1
16,Lower,Female,d. Kommune Kujalleq,2011,In,5
16,Upper,Female,d. Kommune Kujalleq,2011,In,2
17,Lower,Female,d. Kommune Kujalleq,2011,In,6
17,Upper,Female,d. Kommune Kujalleq,2011,In,5
18,Lower,Female,d. Kommune Kujalleq,2011,In,2
18,Upper,Female,d. Kommune Kujalleq,2011,In,6
19,Lower,Female,d. Kommune Kujalleq,2011,In,4
19,Upper,Female,d. Kommune Kujalleq,2011,In,7
20,Lower,Female,d. Kommune Kujalleq,2011,In,6
20,Upper,Female,d. Kommune Kujalleq,2011,In,8
21,Lower,Female,d. Kommune Kujalleq,2011,In,11
21,Upper,Female,d. Kommune Kujalleq,2011,In,8
22,Lower,Female,d. Kommune Kujalleq,2011,In,6
22,Upper,Female,d. Kommune Kujalleq,2011,In,5
23,Lower,Female,d. Kommune Kujalleq,2011,In,6
23,Upper,Female,d. Kommune Kujalleq,2011,In,6
24,Lower,Female,d. Kommune Kujalleq,2011,In,4
24,Upper,Female,d. Kommune Kujalleq,2011,In,4
25,Lower,Female,d. Kommune Kujalleq,2011,In,3
25,Upper,Female,d. Kommune Kujalleq,2011,In,2
26,Lower,Female,d. Kommune Kujalleq,2011,In,1
26,Upper,Female,d. Kommune Kujalleq,2011,In,7
27,Lower,Female,d. Kommune Kujalleq,2011,In,6
27,Upper,Female,d. Kommune Kujalleq,2011,In,0
28,Lower,Female,d. Kommune Kujalleq,2011,In,4
28,Upper,Female,d. Kommune Kujalleq,2011,In,4
29,Lower,Female,d. Kommune Kujalleq,2011,In,4
29,Upper,Female,d. Kommune Kujalleq,2011,In,4
30,Lower,Female,d. Kommune Kujalleq,2011,In,5
30,Upper,Female,d. Kommune Kujalleq,2011,In,1
31,Lower,Female,d. Kommune Kujalleq,2011,In,1
31,Upper,Female,d. Kommune Kujalleq,2011,In,1
32,Lower,Female,d. Kommune Kujalleq,2011,In,3
32,Upper,Female,d. Kommune Kujalleq,2011,In,1
33,Lower,Female,d. Kommune Kujalleq,2011,In,1
33,Upper,Female,d. Kommune Kujalleq,2011,In,2
34,Lower,Female,d. Kommune Kujalleq,2011,In,1
34,Upper,Female,d. Kommune Kujalleq,2011,In,1
35,Lower,Female,d. Kommune Kujalleq,2011,In,2
35,Upper,Female,d. Kommune Kujalleq,2011,In,2
36,Lower,Female,d. Kommune Kujalleq,2011,In,0
36,Upper,Female,d. Kommune Kujalleq,2011,In,1
37,Lower,Female,d. Kommune Kujalleq,2011,In,2
37,Upper,Female,d. Kommune Kujalleq,2011,In,0
38,Lower,Female,d. Kommune Kujalleq,2011,In,2
38,Upper,Female,d. Kommune Kujalleq,2011,In,1
39,Lower,Female,d. Kommune Kujalleq,2011,In,0
39,Upper,Female,d. Kommune Kujalleq,2011,In,0
40,Lower,Female,d. Kommune Kujalleq,2011,In,0
40,Upper,Female,d. Kommune Kujalleq,2011,In,2
41,Lower,Female,d. Kommune Kujalleq,2011,In,1
41,Upper,Female,d. Kommune Kujalleq,2011,In,2
42,Lower,Female,d. Kommune Kujalleq,2011,In,3
42,Upper,Female,d. Kommune Kujalleq,2011,In,1
43,Lower,Female,d. Kommune Kujalleq,2011,In,3
43,Upper,Female,d. Kommune Kujalleq,2011,In,1
44,Lower,Female,d. Kommune Kujalleq,2011,In,1
