age,sex,time,count
84,Male,2014,23
85,Male,2014,18
86,Male,2014,17
87,Male,2014,6
88,Male,2014,5
89,Male,2014,4
90,Male,2014,6
91,Male,2014,3
92,Male,2014,0
93,Male,2014,1
94,Male,2014,0
95,Male,2014,1
96,Male,2014,1
97,Male,2014,0
98,Male,2014,0
99,Male,2014,0
100+,Male,2014,0
0,Female,2015,411
1,Female,2015,382
2,Female,2015,345
3,Female,2015,366
4,Female,2015,350
5,Female,2015,388
6,Female,2015,385
7,Female,2015,351
8,Female,2015,369
9,Female,2015,392
10,Female,2015,388
11,Female,2015,392
12,Female,2015,363
13,Female,2015,421
14,Female,2015,401
15,Female,2015,369
16,Female,2015,318
17,Female,2015,378
18,Female,2015,439
19,Female,2015,416
20,Female,2015,417
21,Female,2015,421
22,Female,2015,415
23,Female,2015,446
24,Female,2015,415
25,Female,2015,460
26,Female,2015,458
27,Female,2015,475
28,Female,2015,422
29,Female,2015,405
30,Female,2015,425
31,Female,2015,379
32,Female,2015,393
33,Female,2015,388
34,Female,2015,384
35,Female,2015,346
36,Female,2015,340
37,Female,2015,284
38,Female,2015,288
39,Female,2015,281
40,Female,2015,282
41,Female,2015,243
42,Female,2015,257
43,Female,2015,290
44,Female,2015,297
45,Female,2015,309
46,Female,2015,386
47,Female,2015,470
48,Female,2015,459
49,Female,2015,527
50,Female,2015,459
51,Female,2015,525
52,Female,2015,454
53,Female,2015,423
54,Female,2015,471
55,Female,2015,385
56,Female,2015,362
57,Female,2015,346
58,Female,2015,315
59,Female,2015,308
60,Female,2015,287
61,Female,2015,256
62,Female,2015,255
63,Female,2015,204
64,Female,2015,194
65,Female,2015,224
66,Female,2015,137
67,Female,2015,104
68,Female,2015,148
69,Female,2015,131
70,Female,2015,125
71,Female,2015,135
72,Female,2015,129
73,Female,2015,139
74,Female,2015,96
75,Female,2015,110
76,Female,2015,70
77,Female,2015,63
78,Female,2015,78
79,Female,2015,57
80,Female,2015,57
81,Female,2015,40
82,Female,2015,45
83,Female,2015,38
84,Female,2015,30
85,Female,2015,33
86,Female,2015,31
87,Female,2015,15
88,Female,2015,10
89,Female,2015,9
90,Female,2015,9
91,Female,2015,5
92,Female,2015,2
93,Female,2015,1
94,Female,2015,1
95,Female,2015,0
96,Female,2015,2
97,Female,2015,0
98,Female,2015,0
99,Female,2015,0
100+,Female,2015,0
0,Male,2015,431
1,Male,2015,393
2,Male,2015,430
3,Male,2015,376
4,Male,2015,406
5,Male,2015,400
6,Male,2015,445
7,Male,2015,413
8,Male,2015,407
9,Male,2015,363
10,Male,2015,392
11,Male,2015,394
12,Male,2015,406
13,Male,2015,417
14,Male,2015,405
15,Male,2015,380
16,Male,2015,301
17,Male,2015,385
18,Male,2015,450
19,Male,2015,403
20,Male,2015,435
21,Male,2015,429
22,Male,2015,490
23,Male,2015,437
24,Male,2015,459
25,Male,2015,463
26,Male,2015,484
27,Male,2015,470
28,Male,2015,429
29,Male,2015,412
30,Male,2015,446
31,Male,2015,416
32,Male,2015,392
33,Male,2015,426
34,Male,2015,401
35,Male,2015,416
36,Male,2015,349
37,Male,2015,325
38,Male,2015,365
39,Male,2015,334
40,Male,2015,317
41,Male,2015,327
42,Male,2015,341
43,Male,2015,348
44,Male,2015,358
45,Male,2015,395
46,Male,2015,420
47,Male,2015,512
48,Male,2015,569
49,Male,2015,564
50,Male,2015,619
51,Male,2015,577
52,Male,2015,551
53,Male,2015,510
54,Male,2015,507
55,Male,2015,520
56,Male,2015,486
57,Male,2015,463
58,Male,2015,424
59,Male,2015,392
60,Male,2015,384
61,Male,2015,348
62,Male,2015,302
63,Male,2015,298
64,Male,2015,273
65,Male,2015,276
66,Male,2015,181
67,Male,2015,226
68,Male,2015,175
69,Male,2015,206
70,Male,2015,172
71,Male,2015,166
72,Male,2015,134
73,Male,2015,133
74,Male,2015,128
75,Male,2015,111
76,Male,2015,62
77,Male,2015,68
78,Male,2015,66
79,Male,2015,44
80,Male,2015,34
81,Male,2015,43
82,Male,2015,32
83,Male,2015,23
84,Male,2015,18
85,Male,2015,17
86,Male,2015,16
87,Male,2015,13
88,Male,2015,5
89,Male,2015,4
90,Male,2015,2
91,Male,2015,4
92,Male,2015,3
93,Male,2015,0
94,Male,2015,0
95,Male,2015,0
96,Male,2015,1
97,Male,2015,0
98,Male,2015,0
99,Male,2015,0
100+,Male,2015,0
0,Female,2016,394
1,Female,2016,403
2,Female,2016,381
3,Female,2016,355
4,Female,2016,368
5,Female,2016,359
6,Female,2016,392
7,Female,2016,385
8,Female,2016,359
9,Female,2016,360
10,Female,2016,385
11,Female,2016,386
12,Female,2016,387
13,Female,2016,360
14,Female,2016,418
15,Female,2016,394
16,Female,2016,304
17,Female,2016,374
18,Female,2016,380
19,Female,2016,433
20,Female,2016,411
21,Female,2016,407
22,Female,2016,421
23,Female,2016,414
24,Female,2016,448
25,Female,2016,422
26,Female,2016,456
27,Female,2016,460
28,Female,2016,471
29,Female,2016,427
30,Female,2016,409
31,Female,2016,416
32,Female,2016,370
33,Female,2016,383
34,Female,2016,390
35,Female,2016,384
36,Female,2016,351
37,Female,2016,341
38,Female,2016,282
39,Female,2016,289
40,Female,2016,273
41,Female,2016,281
42,Female,2016,242
43,Female,2016,256
44,Female,2016,286
45,Female,2016,295
46,Female,2016,307
47,Female,2016,381
48,Female,2016,462
49,Female,2016,457
50,Female,2016,518
51,Female,2016,452
52,Female,2016,514
53,Female,2016,455
54,Female,2016,412
55,Female,2016,465
56,Female,2016,380
57,Female,2016,361
58,Female,2016,343
59,Female,2016,310
60,Female,2016,306
61,Female,2016,280
62,Female,2016,243
63,Female,2016,245
64,Female,2016,196
65,Female,2016,183
66,Female,2016,215
67,Female,2016,132
68,Female,2016,103
69,Female,2016,142
70,Female,2016,121
71,Female,2016,122
72,Female,2016,130
73,Female,2016,119
74,Female,2016,130
75,Female,2016,92
76,Female,2016,102
77,Female,2016,65
78,Female,2016,60
79,Female,2016,65
80,Female,2016,51
81,Female,2016,49
82,Female,2016,35
83,Female,2016,41
84,Female,2016,32
85,Female,2016,28
86,Female,2016,32
87,Female,2016,25
88,Female,2016,12
89,Female,2016,8
90,Female,2016,7
91,Female,2016,7
92,Female,2016,5
93,Female,2016,1
94,Female,2016,1
95,Female,2016,1
96,Female,2016,0
97,Female,2016,2
98,Female,2016,0
99,Female,2016,0
100+,Female,2016,0
0,Male,2016,425
1,Male,2016,428
2,Male,2016,402
3,Male,2016,436
4,Male,2016,375
5,Male,2016,401
6,Male,2016,408
7,Male,2016,432
8,Male,2016,414
9,Male,2016,402
10,Male,2016,361
11,Male,2016,386
12,Male,2016,397
13,Male,2016,404
14,Male,2016,416
15,Male,2016,395
16,Male,2016,290
17,Male,2016,349
18,Male,2016,400
19,Male,2016,452
20,Male,2016,401
21,Male,2016,434
22,Male,2016,436
23,Male,2016,487
24,Male,2016,437
25,Male,2016,454
26,Male,2016,488
27,Male,2016,496
28,Male,2016,462
29,Male,2016,435
30,Male,2016,411
31,Male,2016,461
32,Male,2016,410
33,Male,2016,403
34,Male,2016,421
35,Male,2016,396
36,Male,2016,412
37,Male,2016,342
38,Male,2016,330
39,Male,2016,358
40,Male,2016,334
41,Male,2016,313
42,Male,2016,316
43,Male,2016,333
44,Male,2016,341
45,Male,2016,351
46,Male,2016,392
47,Male,2016,411
48,Male,2016,497
49,Male,2016,560
50,Male,2016,560
51,Male,2016,606
52,Male,2016,569
53,Male,2016,526
54,Male,2016,506
55,Male,2016,489
56,Male,2016,511
57,Male,2016,474
58,Male,2016,459
59,Male,2016,416
60,Male,2016,381
61,Male,2016,372
62,Male,2016,331
63,Male,2016,290
64,Male,2016,281
65,Male,2016,264
66,Male,2016,263
67,Male,2016,171
68,Male,2016,214
69,Male,2016,164
70,Male,2016,192
71,Male,2016,163
72,Male,2016,156
73,Male,2016,122
74,Male,2016,126
75,Male,2016,110
76,Male,2016,95
77,Male,2016,59
78,Male,2016,60
79,Male,2016,57
80,Male,2016,37
81,Male,2016,30
82,Male,2016,37
83,Male,2016,23
84,Male,2016,21
85,Male,2016,13
86,Male,2016,13
87,Male,2016,12
88,Male,2016,11
89,Male,2016,3
90,Male,2016,2
91,Male,2016,1
92,Male,2016,4
93,Male,2016,3
94,Male,2016,0
95,Male,2016,0
96,Male,2016,0
97,Male,2016,1
98,Male,2016,0
99,Male,2016,0
100+,Male,2016,0
0,Female,2017,404
1,Female,2017,383
2,Female,2017,401
3,Female,2017,382
4,Female,2017,352
5,Female,2017,368
6,Female,2017,360
7,Female,2017,393
8,Female,2017,383
9,Female,2017,359
10,Female,2017,355
11,Female,2017,388
12,Female,2017,394
13,Female,2017,376
14,Female,2017,345
15,Female,2017,397
16,Female,2017,301
17,Female,2017,352
18,Female,2017,389
19,Female,2017,383
20,Female,2017,428
21,Female,2017,398
22,Female,2017,405
23,Female,2017,426
24,Female,2017,415
25,Female,2017,459
26,Female,2017,441
27,Female,2017,458
28,Female,2017,463
29,Female,2017,491
30,Female,2017,424
31,Female,2017,413
32,Female,2017,411
33,Female,2017,377
34,Female,2017,377
35,Female,2017,382
36,Female,2017,376
37,Female,2017,351
38,Female,2017,330
39,Female,2017,278
40,Female,2017,293
41,Female,2017,266
42,Female,2017,273
43,Female,2017,238
44,Female,2017,255
45,Female,2017,282
46,Female,2017,289
47,Female,2017,306
48,Female,2017,370
49,Female,2017,462
50,Female,2017,454
51,Female,2017,515
52,Female,2017,446
53,Female,2017,506
54,Female,2017,446
55,Female,2017,408
56,Female,2017,455
57,Female,2017,379
58,Female,2017,357
59,Female,2017,338
60,Female,2017,305
61,Female,2017,298
62,Female,2017,271
63,Female,2017,237
64,Female,2017,235
65,Female,2017,190
66,Female,2017,172
67,Female,2017,207
68,Female,2017,125
