age,triangle,sex,region,time,count
14,Lower,Female,d. Kommuneqarfik Sermersooq,2011,1
14,Upper,Female,d. Kommuneqarfik Sermersooq,2011,0
15,Lower,Female,d. Kommuneqarfik Sermersooq,2011,0
15,Upper,Female,d. Kommuneqarfik Sermersooq,2011,0
16,Lower,Female,d. Kommuneqarfik Sermersooq,2011,1
16,Upper,Female,d. Kommuneqarfik Sermersooq,2011,0
17,Lower,Female,d. Kommuneqarfik Sermersooq,2011,2
17,Upper,Female,d. Kommuneqarfik Sermersooq,2011,2
18,Lower,Female,d. Kommuneqarfik Sermersooq,2011,1
18,Upper,Female,d. Kommuneqarfik Sermersooq,2011,2
19,Lower,Female,d. Kommuneqarfik Sermersooq,2011,1
19,Upper,Female,d. Kommuneqarfik Sermersooq,2011,1
20,Lower,Female,d. Kommuneqarfik Sermersooq,2011,4
20,Upper,Female,d. Kommuneqarfik Sermersooq,2011,4
21,Lower,Female,d. Kommuneqarfik Sermersooq,2011,4
21,Upper,Female,d. Kommuneqarfik Sermersooq,2011,4
22,Lower,Female,d. Kommuneqarfik Sermersooq,2011,5
22,Upper,Female,d. Kommuneqarfik Sermersooq,2011,4
23,Lower,Female,d. Kommuneqarfik Sermersooq,2011,2
23,Upper,Female,d. Kommuneqarfik Sermersooq,2011,2
24,Lower,Female,d. Kommuneqarfik Sermersooq,2011,6
24,Upper,Female,d. Kommuneqarfik Sermersooq,2011,8
25,Lower,Female,d. Kommuneqarfik Sermersooq,2011,7
25,Upper,Female,d. Kommuneqarfik Sermersooq,2011,5
26,Lower,Female,d. Kommuneqarfik Sermersooq,2011,1
26,Upper,Female,d. Kommuneqarfik Sermersooq,2011,8
27,Lower,Female,d. Kommuneqarfik Sermersooq,2011,7
27,Upper,Female,d. Kommuneqarfik Sermersooq,2011,5
28,Lower,Female,d. Kommuneqarfik Sermersooq,2011,3
28,Upper,Female,d. Kommuneqarfik Sermersooq,2011,2
29,Lower,Female,d. Kommuneqarfik Sermersooq,2011,6
29,Upper,Female,d. Kommuneqarfik Sermersooq,2011,8
30,Lower,Female,d. Kommuneqarfik Sermersooq,2011,5
30,Upper,Female,d. Kommuneqarfik Sermersooq,2011,2
31,Lower,Female,d. Kommuneqarfik Sermersooq,2011,2
31,Upper,Female,d. Kommuneqarfik Sermersooq,2011,2
32,Lower,Female,d. Kommuneqarfik Sermersooq,2011,4
32,Upper,Female,d. Kommuneqarfik Sermersooq,2011,5
